,Country Name,Country Code,Death rate,gdp,population % 0-14,population % over 65,population % 15-65
201,Solomon Islands,SLB,5.082,2222.46214297336,39.5719414546352,3.46286588140317,56.9651926639617
202,Sierra Leone,SLE,9.296,493.432252431844,39.7851741149668,3.14715725542131,57.0676686296119
203,El Salvador,SLV,8.442,3961.72663347599,26.083984839015,8.10377084289794,65.812244318087
204,San Marino,SMR,9.9,45321.489222868,13.3810686035228,19.6988855235687,66.9200458729085
205,Somalia,SOM,11.39,416.217774718244,47.3397119329059,2.6158408087602,50.0444472583339
206,Serbia,SRB,16.9,7733.80349392648,14.1296665420631,20.7446461876994,65.1256872702375
207,Sub-Saharan Africa (excluding high income),SSA,8.82769626132143,1487.89476802804,42.2967058144532,3.05707977064697,54.6462144148998
208,Sub-Saharan Africa,SSF,8.82752284807692,1488.79549974746,42.2950758651535,3.05747155108473,54.6474525837617
209,Small states,SST,7.42687316183022,10702.8860207874,28.9727461386179,5.99632537758511,65.030928483797
210,Sao Tome and Principe,STP,6.294,2161.31020078768,40.6138372949264,3.78863067768625,55.5975320273874
211,Suriname,SUR,7.036,4796.53331389928,26.7681385024668,7.1148064869495,66.1170550105837
212,Slovak Republic,SVK,10.8,19551.6211601931,15.8419573951599,16.8241845935455,67.3338580112946
213,Slovenia,SVN,11.4,25545.2410027132,15.2025532184162,20.1009991778588,64.6964476037251
214,Sweden,SWE,9.5,52837.9039778149,17.7450854687151,20.0325934028449,62.22232112844
215,Eswatini,SWZ,9.603,3372.90463883844,35.4396923741483,3.94772393290165,60.6125836929501
216,Sint Maarten (Dutch part),SXM,5.5,29314.0942947043,12.475499467006,8.93825292573616,78.5862476072579
217,Seychelles,SYC,6.8,12020.021913519,23.2379418174927,7.63811238510376,69.1239457974036
218,Syrian Arab Republic,SYR,4.99,537.211361424552,34.4690845205165,4.55117416598229,60.9797413135012
219,Turks and Caicos Islands,TCA,8.823,20882.2612702141,16.813659616275,9.97481734102741,73.2115230426976
220,Chad,TCD,12.486,643.772216240999,47.8167301468278,2.03263783372745,50.1506320194447
221,East Asia & Pacific (IDA & IBRD countries),TEA,7.2017706354772,8354.65293827494,20.4029707045591,10.8822681718817,68.7147611235592
222,Europe & Central Asia (IDA & IBRD countries),TEC,11.6320656024103,8439.66710909809,20.4942395717609,12.9894372658815,66.5163231623576
223,Togo,TGO,8.417,875.245409906734,40.497827678269,3.05815283953483,56.4440194821962
224,Thailand,THA,7.264,7001.78541255771,16.0659765534604,13.8503665118077,70.083656934732
225,Tajikistan,TJK,6.121,852.330229589791,36.4944090597637,3.23618674518954,60.2694041950468
226,Turkmenistan,TKM,6.836,7297.18004219407,31.2326832135604,4.71578151803122,64.0515352684084
227,Latin America & the Caribbean (IDA & IBRD countries),TLA,7.71146305564178,7136.21474095016,24.0755567188256,8.6012758034457,67.3231674777287
228,Timor-Leste,TLS,6.831,1660.30830887811,35.945061327159,5.37205912330432,58.6828795495367
229,Middle East & North Africa (IDA & IBRD countries),TMN,5.67853507678882,3118.8605067659,31.1841421779673,5.43233160836926,63.3835262136635
230,Tonga,TON,6.946,4605.97087843701,35.073726414198,6.18218785034298,58.744085735459
231,South Asia (IDA & IBRD),TSA,7.16652966188531,1853.89308716516,27.9336687908501,6.22764421326151,65.8386869958884
232,Sub-Saharan Africa (IDA & IBRD countries),TSS,8.82752284807692,1488.79549974746,42.2950758651536,3.05747155108473,54.6474525837617
233,Trinidad and Tobago,TTO,7.9,13871.7982158614,19.5245585572412,10.6744274434557,69.8010139993031
234,Tunisia,TUN,6.752,3497.73323057269,24.9500708082235,8.57849253761165,66.4714366541649
235,Turkiye,TUR,6.378,8561.0643326366,23.7110603615819,8.18209546745335,68.1068441709647
236,Tuvalu,TUV,10.188,4674.90908818494,31.606287830879,5.99421808654802,62.399494082573
237,Tanzania,TZA,6.179,1104.16442871094,43.8773745870602,3.12767778203859,52.9949476309012
238,Uganda,UGA,5.852,846.881199214807,45.6701073228634,1.66481584536345,52.6650768317732
239,Ukraine,UKR,15.9,3751.7373046875,15.3272298253506,17.1900576835399,67.4827124911094
240,Upper middle income,UMC,7.91007336404837,8649.36556133265,20.7793877731735,10.9062495626619,68.3143626641646
241,Uruguay,URY,9.432,15650.4994274155,19.7968321883977,15.338152012205,64.8650157993973
242,United States,USA,10.3,63528.6343027508,18.5113495341764,16.2234001500798,65.2652503157439
243,Uzbekistan,UZB,5.1,1759.30747050785,29.7700920460112,4.8675298116888,65.3623781423
244,St. Vincent and the Grenadines,VCT,11.038,8306.36758115851,22.2784507681648,10.6749814828089,67.0465677490264
245,Virgin Islands (U.S.),VIR,8.4,39552.1685953523,19.2642556686662,19.6445727655126,61.0911715658212
246,Vietnam,VNM,6.169,3586.34729656749,22.693134535111,8.42740854894926,68.8794569159397
247,Vanuatu,VUT,5.487,2917.75684908933,39.7572870045078,3.71336445449733,56.5293485409949
248,World,WLD,8.03336842322587,10895.7352329064,25.6990799012011,9.42511977441351,64.8758003243854
249,Samoa,WSM,5.305,4042.72271474144,37.9252266440856,5.01420233146218,57.0605710244522
250,Kosovo,XKX,7.505,4310.93298389393,22.6386448542331,9.68924075768309,67.6721143880838
251,South Africa,ZAF,9.425,5741.64124877252,28.7396723302935,6.00053469336587,65.2597929763407
252,Zambia,ZMB,6.602,956.831747486282,43.6803729346094,1.72986015480474,54.5897669105859
253,Zimbabwe,ZWE,8.132,1372.69667433317,41.1560846287343,3.37626213602766,55.4676532352381
